label_id,matched_wording,product_type,product_construction,product_material,product_treatment,product_type_status,review_status,reviewed_by,review_note
gold-0c69db9248e18202,Canvas,Canvas,Panel; Set,Canvas,,accepted,reviewed,Codex independent catalog reviewer,"Canvasboard explicitly establishes panel physical form; painting SET explicitly states grouping, without proving paint-your-own purpose or particular supplied contents. Retain conservative Canvas type and add stated Set construction."
gold-0c7618d50bb19216,Faux Book,Faux Book,,MDF; PU Leather,,accepted,reviewed,Codex independent source reviewer,Explicit Faux Book storage form; no inferred Hard box or attachments; only physical materials stated.
gold-0d9ea218e557fe22,MDF Box,MDF Box,Lenticular,MDF,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-0db3cd34c0bbae74,Door Hanger,Door Hanger,Lenticular; Reversible,MDF,,accepted,reviewed,Codex independent catalog reviewer,Independent physical noun and all observed modifier groups reviewed; semantic suffix contexts and every underscore variant inspected; no reader predictions
gold-0df07eed0c55ff41,Framed Canvas,Framed Canvas,Floating Frame,Canvas,Gold Leaf; Handpaint,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed underscore product group; suffix semantic contexts checked; no reader predictions
gold-0dfff0a9b7f48f06,Dimensional Decor,Dimensional Decor,,PE Rattan,,accepted,reviewed,Codex evaluation agent independent source review,"Independent full source inspection; physical wording reviewed, artwork does not establish material or type."
gold-0e3deef577ed3fbf,Framed Glass Shadowbox,Framed Glass Shadowbox,Framed,Glass,Diamond Dust,accepted,reviewed,Codex independent construction gold reviewer,"Source title explicitly names a physical frame belonging to the shadowbox; artwork, licensor, property, color and size do not determine product type."
gold-0e64967dd636f890,Light,Light,,,LED,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-0fe0c0b412dc5c03,Art,Art,,MDF; Wire,LED,accepted,reviewed,Codex independent partition four source reviewer,LED neon wire art names art as the physical noun and wire as a stated component; Light is use-only overgeneralization. Same physical phrase elsewhere is independently labeled Art.
gold-0fe739f732f85499,Storage Chest,Storage Chest,Domed,Greyboard,Spot Gloss,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-10889b84818396c3,Storage Hamper,Storage Hamper,Oval,,,accepted,reviewed,Codex evaluation agent independent source review,"Independent full source inspection; physical wording reviewed, artwork does not establish material or type."
gold-10a93e2d0efc4f5d,Desktop Organizer,Desktop Organizer,,Fabric; Felt,Applique,accepted,reviewed,Codex evaluation agent independent source review,"Independent full source inspection; physical wording reviewed, artwork does not establish material or type."
gold-10be61de5d0983d8,Print,Print,,,High Gloss,accepted,reviewed,Codex independent product-type gold reviewer,"Source explicitly says print but does not state art; material, finish, license, size, or pattern cannot narrow physical type to Art Print."
gold-114805532136f732,Storage Cube,Storage Cube,,Fabric,,accepted,reviewed,Codex independent material gold reviewer,Source says nonwoven or non-woven and nowhere independently says woven; Woven construction contradicts source. Normalize nonwoven textile to broad Fabric material without a redundant second material. Preserve other stated construction and material.
gold-114c3ed92a042359,Foam Wall Decor,Foam Wall Decor,,EVA,,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed source physical-wording group and complete semantic modifier contexts
gold-11549caf5af9da6c,Storage Box,Storage Box,Shaped,,,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-11d379d9c03ef883,placeholder,,,,,placeholder,reviewed,Codex primary implementer,"Standalone blank, identifier, placeholder, fee or test wording; source variants inspected independently."
gold-1250b0f07af9a805,Canvas,Canvas,,Canvas; MDF,Glitter,accepted,reviewed,Codex primary implementer,Individual source description reviewed; only stated physical nouns and attributes retained; artwork and dimensions ignored.
gold-12999d21e8783c41,Decorative Word,Decorative Word,,MDF; Wire,,accepted,reviewed,Codex independent material gold reviewer,"Wire word names a physical word made from wire, mounted on the explicitly stated MDF substrate. Wire is a literal material form with unspecified composition; no metal alloy is inferred. Preserve separately stated existing materials and other fields."
gold-129fa9e57086e1cf,Storage Suitcase,Storage Suitcase,Suitcase,MDF,Foil,accepted,reviewed,Codex independent catalog reviewer,Explicit suitcase storage form; no Hard or Box noun is stated. Canonical Storage Suitcase matches literal physical wording and already corrected SUITCS peers2475/7000. Size/identity assortment does not mix physical types. Other stated materials/construction/finishes preserved.
gold-13415311dac4b9df,Framed Mirror,Framed Mirror,Framed,Wood,,accepted,reviewed,Codex independent material gold reviewer,"Frame or framed explicitly describes physical wall art, sign, or mirror rather than artwork scene. Source explicitly names framed mirror; consistent with other framed-mirror gold labels."
gold-140c1926adeac421,Framed Print,Framed Print,Framed,Glass; MDF; Paper,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-14128fd5531e997e,Framed Glass Shadowbox,Framed Glass Shadowbox,Molded,Glass; PVC,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-141496962bfc29ab,Frame,Frame,Framed,,,accepted,reviewed,Codex independent product-type gold reviewer,"Explicit physical noun is Frame with construction/material and artwork identity. No stated print/art insert, framed physical object or portrait noun supports expanding it to Framed Art or Framed Print."
gold-143ca4775bdb0fd6,Framed Glass Art,Framed Glass Art,Framed,Glass,Etched; LED,accepted,reviewed,Codex evaluation agent independent source review,"Independent full source inspection; physical wording reviewed, artwork does not establish material or type."
gold-15a1b8975a295d5e,Framed Canvas,Framed Canvas,Framed,Canvas,High Gloss,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed source physical-wording group and complete semantic modifier contexts
gold-163346e1c73fc10c,Decorative Object,Decorative Object,Dimensional; Woven,Paper Rope,,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed explicit physical wording; no inferred wall/tabletop form or material
gold-16819fef887eb902,Wall Sign,Wall Sign,,MDF,High Gloss,accepted,reviewed,Codex primary implementer,Source physical-wording and suffix-attribute groups independently inspected. Artwork nouns and material-looking substrings excluded; no MG codes or reader predictions.
gold-16a4f63f4c3043e7,MDF Box,MDF Box,Clips,MDF,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-16d6705c8470d78b,Framed Shadowbox,Framed Shadowbox,Die-Cut,MDF,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-16e6d0b42bc12d2e,Decorative Letter,Decorative Letter,,,,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-17266fc65697decc,Decorative Letter,Decorative Letter,,Wood,,accepted,reviewed,Codex primary implementer,Source physical-wording and suffix-attribute groups independently inspected. Artwork nouns and material-looking substrings excluded; no MG codes or reader predictions.
gold-17a1703558400a6d,Plaque,Plaque,Clips,MDF,,accepted,reviewed,Codex independent construction gold reviewer,"Physical source wording; dimensions, licensor, property, color and artwork excluded."
gold-17e18e132fa71ba1,Canvas,Canvas,,Canvas,Handpaint,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed source physical-wording group and complete semantic modifier contexts
gold-17e1f3e4b0d8e5cf,Framed Canvas,Framed Canvas,Framed,Canvas; Cotton,,accepted,reviewed,Codex independent material gold reviewer,Cotton explicitly states the canvas fiber in the physical framed-canvas clause.
gold-185012132dad3594,Storage Box,Storage Box,Shaped,,Foil,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-18658de0152e3a0e,Wall Art,Wall Art,Boxed; Double-Layer,MDF,,accepted,reviewed,Codex primary implementer,Individual source description reviewed; only stated physical nouns and attributes retained; artwork and dimensions ignored.
gold-18b6d5d9192299f6,Framed Glass Shadowbox,Framed Glass Shadowbox,Set,Glass,,accepted,reviewed,Codex independent construction and treatment gold reviewer,The shadowbox is explicitly a two-piece set.
gold-18b89832e679c1a2,Framed Glass Art,Framed Glass Art,Framed; Round,Glass,Painted,accepted,reviewed,Codex evaluation agent independent source review,"Independent full source inspection; physical wording reviewed, artwork does not establish material or type."
gold-193533b0f2bc0881,Canvas,Canvas,,Canvas; Faux Leather,Faux Leather Patch,accepted,reviewed,Codex independent material gold reviewer,Explicit physical canvas with faux leather modifier/patch; named material precedes artwork clause. Faux does not authorize real leather or inferred PU.
gold-19728486364ee173,Framed Print,Framed Print,Floating Frame,Paper,Embossed; Glitter,accepted,reviewed,Codex independent catalog reviewer,"Embossed paper print with glitter explicitly stated, but no gel/coating wording; remove unsupported Gel Coat and retain both stated treatments. Same omission as eight independently corrected4491–4498 peers."
gold-19b7aba715743a27,Framed Art,Framed Art,Deckled Edge; Framed,Paper,Foil,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-1ab5c5a6f9f560e5,Canvas,Canvas,,Canvas,Flocking; Gold Leaf,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed underscore product group; suffix semantic contexts checked; no reader predictions
gold-1bfe1d28c7876497,Photo Frame,Photo Frame,Die-Cut,MDF,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-1c0f403588fa37ce,Glass Art,Glass Art,Floating,Glass,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-1c20b5129ca318c8,Wall Clock,Wall Clock,Molded,,,accepted,reviewed,Codex evaluation agent independent source review,Source wording independently inspected; product nouns explicit; artwork/size/color excluded; only stated materials and treatments retained.
gold-1c53c2292bc578c6,Wall Art,Wall Art,,,,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-1c55cc70ccde88c0,Storage Hamper,Storage Hamper,Tapered,Felt,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-1cc74a6973591f42,Wall Bank,Wall Bank,,Glass,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-1cc8c36fc4d593e2,Tabletop Block,Tabletop Block,,,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-1d17b88016cb3928,Writing Desk,Writing Desk,With Legs,MDF,,accepted,reviewed,Codex independent catalog reviewer,Independent physical noun and all observed modifier groups reviewed; semantic suffix contexts and every underscore variant inspected; no reader predictions
gold-1d768d1a69ce7844,Tall Sign,Tall Sign,,MDF,Glow in the Dark,accepted,reviewed,Codex independent treatment gold reviewer,"Glow in the Dark directly qualifies physical Tall MDF Sign, preceding artwork clause; exact stated treatment, not artwork caption."
gold-1d7e237daeede5d2,Magazine Holder,Magazine Holder,,,,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-1d7f9f930cccb35f,Photo Frame,Photo Frame,DIY; Die-Cut Attachment,MDF,Attachment,accepted,reviewed,Codex independent treatment gold reviewer,Source explicitly names an attached physical ornament/component of the named product.
gold-1d84245ce455e65f,Framed Glass Shadowbox,Framed Glass Shadowbox,Raised,Glass,Attachment,accepted,reviewed,Codex independent treatment gold reviewer,Source explicitly names an attached physical ornament/component of the named product.
gold-1d9b11ac53f08c70,Framed Mirror,Framed Mirror,Framed,Aluminum,,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-1ded937a5543987a,Mirror,Mirror,,,LED,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-1df44a8c7865e476,Photo Frame,Photo Frame,Molded,MDF,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-1e1d367a6ce575fe,Framed Print,Framed Print,Framed,MDF,Scratch-Off,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-1e4c5647d1562041,Glass Art,Glass Art,Layered,Glass,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-1eb891f76d9befe5,Wall Plaque,Wall Plaque,Die-Cut,MDF,LED; LED,accepted,reviewed,Codex primary implementer,Source physical-wording and suffix-attribute groups independently inspected. Artwork nouns and material-looking substrings excluded; no MG codes or reader predictions.
gold-1ed756a2c281cac6,Framed Canvas,Framed Canvas,Floating Frame,Canvas,Puff Paint; Silver Leaf,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed underscore product group; suffix semantic contexts checked; no reader predictions
gold-1f17ec9bf5669df3,Tabletop Block,Tabletop Block,Domed,,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-1f5c4be749f9a6ea,Door Mat,Door Mat,,Crumb Rubber,,accepted,reviewed,Codex primary implementer,Independent source wording group review and complete atypical attribute suffix review; no reader predictions. Mat placement never inferred; poly alone does not establish a specific polymer.
gold-1fef607529ea472b,Canvas,Canvas,,Canvas,Foil,accepted,reviewed,Codex independent catalog reviewer,Independent source phrase grouping; all156 semantic suffix patterns reviewed with up to3 contexts each; restricted direct modifier syntax; no reader predictions
gold-20094f61acbee4d6,Hard Storage Box,Hard Storage Box,Lift-Off,Greyboard,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-201d68ef30d32298,Canvas,Canvas,,Canvas,Spot Varnish,accepted,reviewed,Codex independent catalog reviewer,Independent source phrase grouping; all156 semantic suffix patterns reviewed with up to3 contexts each; restricted direct modifier syntax; no reader predictions
gold-2030fb76decc57d6,Framed Print,Framed Print,Framed,Faux Leather,Holographic,accepted,reviewed,Codex independent catalog reviewer,Physical wording and modifiers independently reviewed against source
gold-20de158be3f245c6,Door Mat,Door Mat,,,Embossed,accepted,reviewed,Codex primary implementer,Independent source wording group review and complete atypical attribute suffix review; no reader predictions. Mat placement never inferred; poly alone does not establish a specific polymer.
gold-2107d4e3b2612be2,Wall Clock,Wall Clock,,Polypropylene,,accepted,reviewed,Codex evaluation agent independent source review,Source wording independently inspected; product nouns explicit; artwork/size/color excluded; only stated materials and treatments retained.
gold-211e99dad12a5870,Storage Bin,Storage Bin,Rope,Cotton; Felt,Applique; Embroidery,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-2120d616cdea65b5,Storage Chest,Storage Chest,,Greyboard,,accepted,reviewed,Codex evaluation agent independent full source review,Explicit source product wording; assortment/sample words do not erase product evidence.
gold-2211cfd25f22449e,Canvas,Canvas,,Canvas; Chiffon,Applique; Embroidery,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed source physical-wording group and complete semantic modifier contexts
gold-22d696614dbab4ed,Cube,Cube,,Ceramic,,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-22f3712a1a2836b0,Tall Sign,Tall Sign,,MDF,,accepted,reviewed,Codex primary implementer,Source physical-wording and suffix-attribute groups independently inspected. Artwork nouns and material-looking substrings excluded; no MG codes or reader predictions.
gold-22f8e27061f617f8,Wall Clock,Wall Clock,,,,accepted,reviewed,Codex evaluation agent independent source review,Source wording independently inspected; product nouns explicit; artwork/size/color excluded; only stated materials and treatments retained.
gold-230a4b94a4d9f908,Framed Canvas,Framed Canvas,Floating Frame,Canvas,Embroidery,accepted,reviewed,Codex independent catalog reviewer,Independently reviewed underscore product group; suffix semantic contexts checked; no reader predictions
gold-2313bdfe72a78111,Frame,Frame,Laser-Cut; Raised; Setback,,,accepted,reviewed,Codex independent frame-print gold reviewer,"Source names a frame and its contents/features, not a distinct art product."
gold-23220eba76ad5a49,Plaque,Plaque,,,LED,accepted,reviewed,Codex primary implementer,Source physical-wording and suffix-attribute groups independently inspected. Artwork nouns and material-looking substrings excluded; no MG codes or reader predictions.
gold-234ccd4b2f9aea17,Hard Storage Box,Hard Storage Box,,Glass,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-23a4b7a8717fa067,Box,Box,,,,accepted,reviewed,Codex independent catalog reviewer,Source wording independently reviewed; physical noun and explicit modifiers
gold-23f7519ab1a7d10c,Framed Print,Framed Print,Framed; Setback,MDF,,accepted,reviewed,Codex evaluation agent source review,Independent full source selection inspection; explicit physical wording and adjacent modifiers; artwork excluded. Unassessed subtype selections are not assigned.
gold-2487fbbec5f3fc03,Pencil Cup,Pencil Cup,With Clock,Greyboard,,accepted,reviewed,Codex independent catalog reviewer,Independent physical noun and all observed modifier groups reviewed; semantic suffix contexts and every underscore variant inspected; no reader predictions
gold-24aa9da775f01a68,Lap Desk,Lap Desk,Cushioned,,Dry-Erase,accepted,reviewed,Codex independent catalog reviewer,Independent physical noun and all observed modifier groups reviewed; semantic suffix contexts and every underscore variant inspected; no reader predictions
gold-24cb9681e2aa3f0c,Canvas,Canvas,Hexagonal,Canvas,,accepted,reviewed,Codex independent construction gold reviewer,"Physical source wording; dimensions, licensor, property, color and artwork excluded."
